代码,名称,买入价(元),卖出价(元),单次收益(元),单次收益率(%),交易数量(股),买入时间,卖出时间
'601162,天风证券,4.7,4.86,305844,3.30%,1970900,20241021,20241022
'000560,我爱我家,3.67,3.41,-716441,-7.18%,2719200,20241017,20241018
'002600,领益智造,7.96,7.68,-374276,-3.61%,1300700,20241015,20241016
'601390,中国中铁,6.86,6.71,-242097,-2.28%,1544500,20241011,20241014
'600550,保变电气,10.69,8.94,-2087150,-16.45%,1186300,20241009,20241010
'000717,中南股份,1.99,3.15,4663506,58.13%,4030200,20240924,20240930
'002291,遥望科技,4.57,4.57,-8028,-0.10%,1756700,20240919,20240920
'300086,康芝药业,4.46,3.82,-1354741,-14.44%,2103700,20240913,20240918
'000158,常山北明,7.8,8.62,839017,10.40%,1033800,20240911,20240912
'300134,大富科技,8.92,11.25,1763157,25.99%,760200,20240910,20240911
'300310,宜通世纪,5.63,5.25,-498213,-6.84%,1292900,20240906,20240909
'600839,四川长虹,5.24,5.17,-105962,-1.43%,1409300,20240904,20240905
'300184,力源信息,8.16,7.19,-1004898,-11.98%,1028100,20240902,20240903
'002861,瀛通通讯,10.75,11.89,796985,10.49%,706300,20240829,20240830
'002370,亚太药业,2.91,2.94,69975,0.93%,2585200,20240828,20240829
'002631,德尔未来,4,3.89,-166650,-2.85%,1462900,20240822,20240827
'002246,北化股份,9,8.82,-164822,-2.10%,872700,20240820,20240821
'002256,兆新股份,1.66,1.75,396582,5.32%,4492700,20240819,20240820
'002075,沙钢股份,4.85,5.33,664991,9.79%,1400600,20240814,20240816
'000558,莱茵体育,2.54,2.28,-782418,-10.33%,2982400,20240812,20240813
'300342,天银机电,16.39,14.28,-1128273,-12.96%,531000,20240808,20240809
'600187,国中水务,2.6,2.65,155704,1.82%,3287500,20240807,20240808
'000757,浩物股份,3.26,2.96,-875953,-9.29%,2890600,20240805,20240806
'002611,东方精工,6.96,6.27,-1047728,-10.00%,1504400,20240801,20240802
'600811,东方集团,1.05,1.07,185480,1.80%,9795600,20240730,20240731
'000572,海马汽车,3.78,4.15,907867,9.68%,2480900,20240726,20240729
'600811,东方集团,1.01,0.98,-296820,-3.07%,9578700,20240724,20240725
'300807,天迈科技,38.36,36.94,-381957,-3.80%,262100,20240723,20240724
'600119,长江投资,6.44,6.32,-201250,-1.96%,1592800,20240718,20240719
'002741,光华科技,11.65,12,289268,2.90%,855600,20240716,20240717
'300469,信息发展,15.25,17.23,1136927,12.87%,579100,20240711,20240712
'002823,凯中精密,15.2,17.44,1126900,14.62%,506900,20240709,20240710
'300486,东杰智能,5.8,5.37,-625433,-7.51%,1436200,20240705,20240708
'300333,兆日科技,6.25,5.93,-458435,-5.21%,1406200,20240703,20240704
'600601,方正科技,2.97,2.89,-234212,-2.79%,2824900,20240701,20240702
'300461,田中精机,18.64,24,2008441,28.63%,376300,20240628,20240701
'300643,万通智控,14.98,14.08,-455964,-6.10%,498700,20240626,20240627
'603228,景旺电子,29.45,30.05,141841,1.94%,248800,20240624,20240625
'001298,好上好,21.94,21.31,-224235,-2.97%,344200,20240620,20240621
'002198,嘉应制药,7.42,7.22,-217032,-2.79%,1047100,20240618,20240619
'301082,久盛电气,12.18,12.89,420743,5.72%,603400,20240614,20240617
'600992,贵绳股份,15.68,15.84,66966,0.92%,464400,20240611,20240612
'002655,共达电声,11.62,11.21,-273980,-3.62%,650300,20240606,20240607
'600162,香江控股,1.77,1.83,189026,3.29%,3248700,20240603,20240605
'300290,荣科科技,11.03,10.8,-164458,-2.18%,682800,20240529,20240530
'000875,吉电股份,5.66,6.24,693392,10.14%,1208200,20240527,20240528
'000957,中通客车,11.3,10.48,-542603,-7.35%,653200,20240522,20240523
'002074,国轩高科,21.42,22.05,203716,2.84%,335000,20240520,20240521
'300159,新研股份,2.6,2.71,284509,4.13%,2651100,20240516,20240517
'603111,康尼机电,6.7,6.65,-58787,-0.85%,1037500,20240514,20240515
'601155,新城控股,10.11,11.15,642268,10.18%,624100,20240510,20240513
'300719,安达维尔,23.5,22.33,-337274,-5.07%,282800,20240508,20240509
'002668,奥马电器,10.6,10.54,-44534,-0.67%,631200,20240506,20240507
'600660,福耀玻璃,50.16,49.83,-51060,-0.76%,134400,20240429,20240430
'600879,航天电子,7.94,7.99,35496,0.53%,844700,20240425,20240426
'600858,银座股份,4.77,4.54,-279335,-4.92%,1190700,20240422,20240423
'600210,紫江企业,5.97,6.56,622104,9.77%,1066000,20240418,20240419
'600984,建设机械,3.26,4.5,1749536,37.90%,1415700,20240411,20240416
'300310,宜通世纪,4.8,4.45,-368045,-7.38%,1038100,20240409,20240410
'000691,亚太实业,4.49,4.05,-547027,-9.89%,1231600,20240403,20240408
'601975,招商南油,3.62,3.68,84739,1.56%,1504200,20240401,20240402
'002562,兄弟科技,3.49,3.53,56329,1.05%,1544100,20240328,20240329
'002388,新亚制程,5.22,5.8,534141,11.00%,930000,20240325,20240327
'002474,榕基软件,6.85,6.42,-330408,-6.37%,756900,20240321,20240322
'002611,东方精工,8.8,8.61,-119751,-2.26%,602800,20240319,20240320
'002716,金贵银业,3.1,3.16,95545,1.83%,1680500,20240315,20240318
'000736,中交地产,10.19,10.36,80368,1.57%,503300,20240313,20240314
